id,player_name,games,time,goals,xG,assists,xA,shots,key_passes,yellow_cards,red_cards,position,team_title,npg,npxG,xGChain,xGBuildup,season
447,Kevin De Bruyne,25,2006,7,4.308095835149288,9,8.33203162252903,49,81,2,0,M S,Manchester City,7,4.308095835149288,16.136462956666946,8.064566018991172,2015/2016
618,Raheem Sterling,31,1943,6,7.149213088676333,2,3.246622446924448,52,35,1,0,F M S,Manchester City,6,7.149213088676333,14.019074592739344,4.698837177827954,2015/2016
878,Yaya Touré,32,2345,6,5.663291418924928,5,4.417276362888515,77,44,3,0,M S,Manchester City,5,4.902123415842652,13.864018429070711,8.840408202260733,2015/2016
622,Wilfried Bony,26,1203,4,6.749876271001995,3,2.988756734877825,60,13,1,0,F S,Manchester City,4,5.988702247850597,8.198028582148254,1.1061074063181877,2015/2016
621,Aleksandar Kolarov,29,2282,3,2.389820823445916,3,2.884808447211981,39,38,3,0,D S,Manchester City,3,1.6286518070846796,8.196380902081728,6.378136694431305,2015/2016
612,Vincent Kompany,14,1179,2,0.4174300068989396,0,0.08134989906102419,11,3,5,0,D S,Manchester City,2,0.4174300068989396,2.9507625503465533,2.9168542586266994,2015/2016
614,Fernandinho,33,2736,2,1.23233259934932,2,2.5116884037852287,29,29,8,0,M S,Manchester City,2,1.23233259934932,12.033709781244397,10.304349169135094,2015/2016
615,Fernando,24,1703,2,2.8968158289790154,0,0.3292692955583334,15,8,4,0,M S,Manchester City,2,2.8968158289790154,4.508109111338854,4.396472107619047,2015/2016
617,David Silva,24,1818,2,2.598524495959282,11,4.727522297762334,29,67,1,0,M S,Manchester City,2,2.598524495959282,11.535076109692454,7.523192688822746,2015/2016
876,Fabian Delph,17,753,2,0.30059099942445755,0,0.42607941292226315,13,2,0,0,M S,Manchester City,2,0.30059099942445755,2.4887941433116794,1.8802404375746846,2015/2016
877,Samir Nasri,12,520,2,2.637317957356572,2,0.9286920242011547,14,10,3,0,M S,Manchester City,2,2.637317957356572,4.427332343533635,1.7196574099361897,2015/2016
611,Nicolás Otamendi,30,2673,1,0.9926669923588634,0,0.628144808113575,27,5,9,0,D,Manchester City,1,0.9926669923588634,6.772215612232685,6.60351499542594,2015/2016
609,Joe Hart,35,3112,0,0,0,0.6797931017354131,0,2,0,0,GK,Manchester City,0,0,5.089670866727829,4.409875899553299,2015/2016
610,Pablo Zabaleta,13,1061,0,0.17769970186054707,1,0.633639819920063,3,2,3,0,D S,Manchester City,0,0.17769970186054707,5.072045736946166,4.851451889611781,2015/2016
613,Gaël Clichy,14,1090,0,0.03815829940140247,1,1.0334121156483889,2,12,0,0,D S,Manchester City,0,0.03815829940140247,4.198116481304169,3.6662389133125544,2015/2016
616,Jesús Navas,34,2283,0,2.952996770851314,7,5.385789071209729,31,54,1,0,M S,Manchester City,0,2.952996770851314,14.596691430546343,8.656342074275017,2015/2016
623,Martín Demichelis,20,999,0,0.29870820976793766,0,0.38325950130820274,5,4,3,0,D S,Manchester City,0,0.29870820976793766,3.0463088527321815,2.663048978894949,2015/2016
624,Willy Caballero,4,308,0,0,0,0,0,0,0,0,GK S,Manchester City,0,0,0.34738520439714193,0.34738520439714193,2015/2016
625,Bacary Sagna,28,2449,0,0.1598246991634369,3,2.814246805384755,5,27,4,0,D S,Manchester City,0,0.1598246991634369,9.474531022831798,8.551232373341918,2015/2016
626,Eliaquim Mangala,23,2017,0,1.6006391737610102,0,0,7,0,8,0,D,Manchester City,0,1.6006391737610102,5.0766726695001125,5.0766726695001125,2015/2016
906,Manu García,1,9,0,0,0,0,0,0,0,0,S,Manchester City,0,0,0,0,2015/2016
925,Patrick Roberts,1,3,0,0,0,0,0,0,0,0,S,Manchester City,0,0,0,0,2015/2016
